month_key,project_id,planned_labor_hours,planned_labor_cost,blended_labor_rate
202207,P056,698.7808451594493,41480.343197219634,96.12719666443417
202208,P056,60.0156358188928,3562.589312818053,96.12719666443417
202209,P056,1105.507394811088,65624.0457383522,96.12719666443417
202210,P056,1724.2027626873862,102350.43337735925,96.12719666443417
202211,P056,1264.5511001487278,75065.04219162134,96.12719666443417
202212,P056,3552.771894026844,210896.16077275597,96.12719666443417
202301,P056,3747.441983531317,222451.9757021655,96.12719666443417
202302,P056,4197.3073236538585,249156.44081462713,96.12719666443417
202303,P056,4905.876254142499,291217.81473344006,96.12719666443417
202304,P056,4504.408333337211,267386.2697604555,96.12719666443417
202305,P056,2773.3453285514424,164628.60541987204,96.12719666443417
202306,P056,1779.1542065565748,105612.40709439291,96.12719666443417
202307,P056,1353.099353314305,80321.35675185277,96.12719666443417
202308,P056,1550.8573958180064,92060.47571867573,96.12719666443417
202309,P056,454.52547873917075,26981.095690565533,96.12719666443417
202207,P036,536.5732169537711,23596.285206098317,84.88168712153461
202208,P036,520.1859102291842,22875.638794731723,84.88168712153461
202209,P036,170.54076197194166,7499.681928965836,84.88168712153461
202210,P036,1126.3058297116781,49530.302198176425,84.88168712153461
202211,P036,1458.9347198975606,64157.953956818455,84.88168712153461
202212,P036,4163.094005544287,183075.76746433965,84.88168712153461
202301,P036,5819.474593792943,255916.57937077427,84.88168712153461
202302,P036,7270.447401886364,319724.4011633695,84.88168712153461
202303,P036,7427.255978473289,326620.1980071135,84.88168712153461
202304,P036,6077.863745128452,267279.47247917124,84.88168712153461
202305,P036,3458.3816292386305,152085.41294388988,84.88168712153461
202306,P036,2408.3721084659464,105910.30889764098,84.88168712153461
202307,P036,1515.0015542237268,66623.54294181109,84.88168712153461
202308,P036,1254.217388188678,55155.32692847311,84.88168712153461
202309,P036,131.7341528823011,5793.126724516228,84.88168712153461
202207,P051,165.37612326408401,10046.903630605486,88.34696114539643
202208,P051,1279.223296390014,77715.16786817292,88.34696114539643
202209,P051,450.2782974388781,27355.234673734856,88.34696114539643
202210,P051,1775.3923189138955,107858.34848820008,88.34696114539643
202211,P051,4560.596898251636,277064.6489372842,88.34696114539643
202212,P051,6664.2747733277065,404866.9487104846,88.34696114539643
202301,P051,7528.328504263867,457359.8019412875,88.34696114539643
202302,P051,9615.548704872876,584162.2677233958,88.34696114539643
202303,P051,10768.237461157778,654190.2295712113,88.34696114539643
202304,P051,7727.128576100452,469437.2719174711,88.34696114539643
202305,P051,6446.140946821801,391614.9175815386,88.34696114539643
202306,P051,2208.6154114477367,134177.44809782106,88.34696114539643
202307,P051,1841.208908613811,111856.82735539557,88.34696114539643
202308,P051,2845.356708039605,172860.65289316914,88.34696114539643
202309,P051,430.0903367404874,26128.778933740905,88.34696114539643
202207,P041,1263.7345490498342,83325.91655564403,90.32494462865603
202208,P041,805.5612137899736,53115.685197651175,90.32494462865603
202209,P041,280.09834077120286,18468.634087770934,90.32494462865603
202210,P041,235.73423720266294,15543.43148505857,90.32494462865603
202211,P041,640.9534982252017,42262.069790936126,90.32494462865603
202212,P041,1559.5198568613532,102828.89041642766,90.32494462865603
202301,P041,1244.6839100149778,82069.78886668936,90.32494462865603
202302,P041,3219.4296889092375,212277.11928625562,90.32494462865603
202303,P041,3642.258107943841,240156.83942868793,90.32494462865603
202304,P041,4359.338905552052,287438.45782717346,90.32494462865603
202305,P041,5373.252481647058,354292.1163742545,90.32494462865603
202306,P041,5811.482985810066,383187.3922448715,90.32494462865603
202307,P041,7503.970758350866,494783.6883279512,90.32494462865603
202308,P041,5984.457754358229,394592.6997448627,90.32494462865603
202309,P041,5011.11770961563,330414.30768502003,90.32494462865603
202310,P041,4732.387409495747,312035.8770669907,90.32494462865603
