month_key,project_id,planned_progress_pct,planned_value_pln
202207,P056,2.1685766588489317,3386763.9292061673
202208,P056,2.345563626770576,276408.5265100845
202209,P056,5.438551226367478,4830458.168519136
202210,P056,10.413747051746567,7769987.606098643
202211,P056,13.934179124537074,5498017.471826884
202212,P056,24.90391845385827,17131936.434776217
202301,P056,36.80751492428687,18590383.231032394
202302,P056,49.22718672305642,19396361.336369973
202303,P056,63.199346432486415,21820951.693781782
202304,P056,76.19739793358859,20299642.991298813
202305,P056,84.17968484605545,12466297.318752293
202306,P056,89.87805699337692,8899404.669413552
202307,P056,93.86569811819376,6227678.910515118
202308,P056,98.71688470659008,7576316.7902721185
202309,P056,100.0,2003898.9975296191
202207,P036,1.248026547573787,2734853.6253269957
202208,P036,2.5167636209292974,2780237.4808440795
202209,P036,2.904799113884305,850318.6704854991
202210,P036,5.529122706293908,5750791.843879614
202211,P036,8.746121123129228,7049545.380310201
202212,P036,18.599461727595028,21592044.116442785
202301,P036,32.37153082223657,30179320.43589598
202302,P036,49.21562528979268,36911180.22248854
202303,P036,66.98206245469464,38932348.982507266
202304,P036,80.84242496117973,30372801.542481635
202305,P036,88.1040087894398,15912617.321274392
202306,P036,93.13443772394649,11023392.759737797
202307,P036,96.809588942237,8053515.089487687
202308,P036,99.71199338294579,6360162.227533321
202309,P036,100.0,631121.1426552485
202207,P051,0.2663919337313969,704290.1432872362
202208,P051,2.377813668560665,5582201.740620595
202209,P051,3.126367566985247,1979035.6449427754
202210,P051,6.005927180982544,7613013.745345511
202211,P051,13.089254710820244,18726985.051919572
202212,P051,22.73965430394864,25513840.516945165
202301,P051,35.073656759041526,32608781.48495784
202302,P051,51.19026738572945,42609285.68137358
202303,P051,66.37600169233147,40148223.862898834
202304,P051,78.5268016154531,32124428.4653851
202305,P051,88.67378835495104,26826723.48442968
202306,P051,92.01567479359804,8835318.86929262
202307,P051,94.86124912059971,7523163.041863108
202308,P051,99.37299057485521,11928195.38783976
202309,P051,100.0,1657694.9297681784
202207,P041,1.8934409630798412,5165371.201734225
202208,P041,3.228332301362296,3641628.8707481073
202209,P041,3.6446941106907396,1135849.1452032728
202210,P041,4.028644049598625,1047428.462790036
202211,P041,4.983205509810484,2604076.0567699824
202212,P041,7.620957482215681,7195876.8935775515
202301,P041,9.587153877918842,5363850.4909067415
202302,P041,14.703986019639448,13958891.723753827
202303,P041,20.94750753056199,17032538.55745781
202304,P041,27.2442084661386,17177613.832572866
202305,P041,35.316591547214706,22021734.983769268
202306,P041,43.87899066819973,23358515.369473122
202307,P041,55.17588983151046,30818324.280966856
202308,P041,64.78558003793259,26215560.990663532
202309,P041,72.56906260574712,21233604.579671383
202310,P041,80.51995861460348,21690314.128055803
202311,P041,84.1411031851461,9878605.273001233
202312,P041,89.26074178380291,13966547.83351372
202401,P041,93.18901847604432,10716472.123610636
202402,P041,94.94752353895275,4797261.486978813
202403,P041,96.06056504303537,3036414.9945143545
202404,P041,96.30449936485395,665461.1079010187
202405,P041,99.51044845704831,8745937.918291666
202406,P041,100.0,1335513.2222417258
202208,P061,0.5067918069891764,845382.9400213239
202209,P061,0.85590698499288,582361.4579332417
202210,P061,3.7875654231585223,4890319.842222162
202211,P061,8.954012626963891,8618186.534162361
202212,P061,23.380785279761447,24065399.858568963
202301,P061,39.43934780328662,26787399.897614956
202302,P061,61.87529896948981,37425566.27294644
202303,P061,77.4389760308165,25961878.014195684
202304,P061,90.01449937153797,20977317.998183288
202305,P061,96.6578345289296,11081793.607256783
202306,P061,97.72317985194722,1777109.9471026885
202307,P061,100.0,3797979.5334413247
202208,P021,1.8525511190741306,2446107.9644118343
202209,P021,1.8525511190741306,0.0
202210,P021,3.654056965330728,2378707.800875755
202211,P021,3.654056965330728,0.0
202212,P021,6.771740494893924,4116588.435082729
202301,P021,11.103796922796251,5720046.0605207905
202302,P021,11.790082591272567,906171.3991247991
202303,P021,16.21783945775686,5846408.89207928
202304,P021,21.94902161506512,7567451.270922664
202305,P021,26.762772733344995,6356075.591050722
202306,P021,37.05417999855517,13588771.190841874
202307,P021,43.838862840183836,8958493.271273715
202308,P021,54.1280478176764,13585836.882779187
202309,P021,64.61483619073888,13846752.349414168
202310,P021,70.64003459976314,7955670.245062729
202311,P021,78.73177685914098,10684334.150263153
202312,P021,84.82904172510935,8050826.77406911
202401,P021,88.46403228339196,4799640.486909065
202402,P021,90.12355853437845,2191237.984146618
202403,P021,93.60804886522517,4600920.029920712
202404,P021,97.6754607199986,5370609.442333164
202405,P021,97.6754607199986,0.0
202406,P021,97.6754607199986,0.0
202407,P021,100.0,3069320.9962494173
202208,P011,2.5313613632970666,9762682.151772363
202209,P011,2.615228409539914,323449.4005275022
202210,P011,3.520341792193708,3490743.9112744024
202211,P011,5.233197601554698,6605957.995988316
202212,P011,7.927244030859837,10390108.410743246
202301,P011,12.144716104669408,16265492.528080093
202302,P011,19.344073506893462,27765707.035749976
202303,P011,29.80201407571718,40333059.99526305
202304,P011,43.45707577812329,52663372.79865716
202305,P011,57.53640699495735,54299649.81390403
